2015/1/1,25,30,20,40,15,60,69,41,0.00,29.91,24,33,9.1,Snow

2015/1/2,29,32,24,36,19,67,86,32,0.00,30.13,17,28,8.4,Snow

2015/1/3,30,35,24,36,29,87,100,67,0.16,30.11,13,21,5.6,Rain Snow

2015/1/4,34,41,26,30,34,93,100,69,0.04,29.66,9,26,4.3,Rain Snow

2015/1/5,12,15,10,52,9,70,86,42,0.00,30.22,24,34,7.3,Snow

2015/1/6,14,18,10,51,8,71,79,54,0.00,30.14,14,26,8.2,Snow

2015/1/7,4,8,1,60,-1,65,86,34,0.00,30.14,16,25,6.9,Snow

2015/1/8,10,19,1,55,8,76,93,55,0.00,30.13,22,38,7.3,Snow

2015/1/9,18,23,12,46,12,75,93,58,0.00,29.84,24,33,6.3,Snow

2015/1/10,12,16,8,53,4,68,79,48,0.00,30.34,23,33,9.1,

2015/1/11,23,33,13,42,16,65,80,47,0.00,30.36,15,24,9.1,Snow

2015/1/12,23,32,10,42,25,83,100,48,0.01,30.27,12,21,5.4,Snow

2015/1/13,6,14,-1,58,1,70,85,48,0.00,30.73,8,13,8.4,Snow

2015/1/14,18,25,12,46,10,70,86,46,0.00,30.38,8,14,9.1,

2015/1/15,20,28,12,45,16,75,86,61,0.00,29.97,14,28,9.1,Snow

2015/1/16,18,25,12,46,15,69,93,38,0.00,29.97,15,24,7.4,Snow

2015/1/17,22,37,8,44,13,75,92,54,0.00,30.15,8,16,8.2,Snow

2015/1/18,34,40,28,31,34,87,93,65,0.01,29.69,12,18,8.9,Rain

2015/1/19,26,32,19,38,21,71,80,42,0.00,29.90,12,20,9.1,Rain Snow

2015/1/20,17,23,11,48,4,55,79,27,0.00,30.06,6,12,9.1,

2015/1/21,20,28,11,46,15,74,86,54,0.00,30.14,6,17,9.1,

2015/1/22,26,33,19,39,17,67,80,42,0.00,30.32,8,20,9.1,Snow

2015/1/23,30,33,26,36,23,76,93,56,0.00,30.10,18,26,9.1,Snow

2015/1/24,28,33,24,36,27,88,93,65,0.00,29.55,12,17,4.5,Rain Snow

2015/1/25,17,22,12,48,5,57,79,22,0.00,29.89,11,17,9.1,Snow

2015/1/26,13,18,8,52,6,67,85,38,0.00,30.03,15,22,6.8,Snow

2015/1/27,18,24,12,47,4,60,79,28,0.00,30.09,9,14,7.7,Snow

2015/1/28,20,29,10,46,7,54,74,19,0.00,30.29,8,14,9.1,

2015/1/29,29,34,24,36,25,82,100,38,0.00,29.85,10,18,5.0,Rain Snow

2015/1/30,12,17,8,52,8,68,80,45,0.00,30.15,17,31,8.2,Snow

2015/1/31,16,28,4,49,13,75,86,61,0.00,30.28,8,21,9.1,Snow

2015/2/1,14,20,8,51,12,76,86,57,0.00,30.19,13,24,6.8,Snow

2015/2/2,10,13,6,56,2,75,85,48,0.00,29.83,14,23,3.3,Snow

2015/2/3,16,23,8,50,12,72,93,59,0.00,30.15,17,30,7.4,Snow

2015/2/4,25,30,19,40,23,86,100,68,0.00,29.99,11,21,5.0,Rain Snow

2015/2/5,12,16,8,53,5,66,79,27,0.00,30.22,10,22,9.0,Snow

2015/2/6,18,25,11,47,11,78,93,50,0.00,30.09,22,31,5.5,Snow

2015/2/7,24,28,21,40,22,87,100,67,0.00,29.99,11,31,4.2,Snow

2015/2/8,14,18,10,51,14,88,93,72,0.00,29.92,20,31,4.6,Rain Snow

2015/2/9,12,15,10,52,7,75,79,61,0.12,30.13,10,16,8.7,Snow

2015/2/10,18,23,14,46,12,74,86,51,0.00,30.28,6,13,9.1,Snow

2015/2/11,24,30,18,41,23,85,93,64,0.00,29.91,10,20,6.3,Snow

2015/2/12,11,19,3,54,5,66,80,42,0.00,30.00,14,24,9.1,Snow

2015/2/13,6,17,-6,60,3,70,86,41,0.00,30.14,13,32,6.7,Snow

2015/2/14,12,22,0,54,10,73,86,43,0.00,29.70,22,32,7.0,Snow

2015/2/15,-7,-1,-13,72,-17,54,65,33,0.00,30.29,19,32,9.1,Snow

2015/2/16,0,8,-8,65,-13,51,62,28,0.00,30.33,6,13,9.1,

2015/2/17,10,17,4,54,1,59,79,26,0.00,29.94,7,20,9.1,

2015/2/18,15,18,10,50,10,76,93,45,0.00,29.79,8,15,6.3,Snow

2015/2/19,1,6,-4,64,-10,54,72,28,0.00,30.05,14,24,9.1,

2015/2/20,1,10,-6,64,-11,55,67,34,0.00,30.33,12,22,9.1,

2015/2/21,12,19,6,52,12,79,93,49,0.00,30.07,9,17,4.3,Snow

2015/2/22,18,26,8,48,14,77,93,52,0.00,30.23,9,20,6.4,Snow

2015/2/23,1,6,-4,64,-11,53,72,32,0.00,30.54,14,23,9.1,Snow

2015/2/24,10,19,0,56,8,77,86,54,0.00,29.83,25,37,5.3,Snow

2015/2/25,12,16,8,53,6,65,86,34,0.00,29.84,16,22,8.5,Snow

2015/2/26,11,16,6,54,-1,57,72,37,0.00,30.18,7,14,8.0,Snow

2015/2/27,8,15,1,57,-2,59,72,41,0.00,30.51,9,18,9.1,

2015/2/28,14,23,6,50,5,61,73,46,0.00,30.73,10,18,9.1,

2015/3/1,20,26,14,45,16,76,93,51,0.00,30.34,6,15,9.0,Snow

2015/3/2,24,28,19,40,14,71,86,35,0.00,30.24,13,25,8.0,Snow

2015/3/3,26,35,16,40,22,87,100,62,0.08,29.85,8,21,4.9,Rain Snow

2015/3/4,26,34,19,38,19,67,81,43,0.04,29.92,14,21,8.8,Rain Snow

2015/3/5,10,16,5,54,-2,53,68,29,0.00,30.34,11,17,9.1,Snow

2015/3/6,14,23,6,50,5,62,73,44,0.00,30.43,13,29,9.1,

2015/3/7,26,30,21,40,21,77,93,52,0.00,30.05,16,28,7.4,Snow

2015/3/8,32,36,27,34,23,72,87,27,0.00,30.06,10,23,7.9,Snow

2015/3/9,34,38,29,32,29,79,87,65,0.00,30.14,10,16,9.1,

2015/3/10,30,37,24,34,29,92,100,70,0.00,30.11,4,10,4.2,Fog

2015/3/11,40,47,32,26,31,72,93,44,0.02,30.06,10,21,6.6,

2015/3/12,33,36,30,32,18,52,75,26,0.00,30.57,7,13,9.1,

2015/3/13,32,36,28,33,25,71,81,56,0.00,30.39,11,24,9.1,

2015/3/14,36,41,31,29,34,90,100,59,0.04,29.86,8,18,4.3,Fog Rain

2015/3/15,39,45,33,26,28,68,87,48,0.00,29.98,14,23,9.1,Rain

2015/3/16,36,41,31,29,33,88,100,75,0.12,29.86,5,12,6.5,Rain

2015/3/17,35,42,28,30,27,71,100,19,0.01,29.84,10,30,6.7,Rain

2015/3/18,30,38,23,34,9,41,59,18,0.00,30.18,13,22,9.1,

2015/3/19,28,33,22,38,13,53,69,36,0.00,30.35,6,10,9.1,

2015/3/20,34,40,28,31,24,65,81,39,0.00,30.12,8,14,9.1,

2015/3/21,36,45,26,28,30,77,100,33,0.12,29.93,10,28,6.6,Rain

2015/3/22,22,30,15,42,8,55,80,18,0.00,30.24,12,20,8.2,Snow

2015/3/23,18,23,13,47,4,49,68,27,0.00,30.37,8,14,9.1,

2015/3/24,26,33,18,40,11,54,74,35,0.00,30.39,6,10,9.1,

2015/3/25,32,37,27,33,32,91,100,75,0.08,29.99,10,18,5.1,Rain

2015/3/26,37,41,33,28,33,89,100,60,0.08,29.86,10,20,5.1,Rain Snow

2015/3/27,28,35,21,37,17,65,81,44,0.00,29.93,12,18,9.1,Snow

2015/3/28,22,30,14,43,1,39,57,15,0.00,30.18,12,17,9.1,Snow

2015/3/29,29,39,19,36,20,63,87,39,0.00,30.13,11,33,9.1,Rain

2015/3/30,40,46,33,25,29,69,93,43,0.00,29.73,17,31,9.1,Rain

2015/3/31,34,39,30,30,26,71,93,44,0.00,29.88,7,12,9.1,

2015/4/1,34,41,27,31,14,42,70,25,0.00,30.12,6,13,9.1,

2015/4/2,42,51,33,23,36,79,100,36,0.08,29.79,8,13,6.6,Fog Rain

2015/4/3,45,55,35,20,38,87,100,50,0.08,29.81,7,18,6.2,Fog Rain

2015/4/4,38,43,32,28,26,72,100,25,0.04,30.07,12,23,7.0,Rain Snow

2015/4/5,32,34,30,33,27,82,93,52,0.00,30.19,7,13,7.0,Rain Snow

2015/4/6,36,41,30,30,31,82,93,70,0.00,30.21,6,20,9.1,

2015/4/7,38,43,34,26,29,68,87,46,0.00,30.31,13,21,9.1,

2015/4/8,36,38,33,30,30,81,100,42,0.59,30.15,25,34,5.7,Rain Snow

2015/4/9,40,44,35,26,37,95,100,87,0.35,29.97,19,28,4.4,Rain Thunderstorm

2015/4/10,49,57,41,16,42,90,100,51,0.12,29.62,9,36,3.2,Fog Rain Thunderstorm

2015/4/11,45,52,38,20,28,54,75,31,0.00,30.08,14,22,9.1,

2015/4/12,46,61,32,18,33,66,100,30,0.00,30.22,5,15,9.0,

